PARKING_ID,RECORD_DATE,RECORD_STATUS,PARKING_STATUS,FROM_DATE,TO_DATE,CITY_OWNED,DDP_BLOCKNUM,SUBMARKET,NUMBER_OF_SPACES,LOT_OPERATOR,ENTER_OFF_STREETS,MONTHLY_RATE,DAILY_RATE,BIZ_FILE_NUM,PARKING_TYPE,GLOBALID,SHAPE_Length,SHAPE_Area
278,,302,,,,No,132,17th/Office,, , ,-9999.0,-9999.0,990175,Surface Parking,{64C61547-03F5-447C-BF03-F8FC8C31B85E},0.00297824512316,4.29068075246e-07
280,,303,,,,No,0, ,, , ,-9999.0,-9999.0,990176,Surface Parking,{B6598486-2511-4B4A-AD62-C74EBA535739},0.00327754028761,5.71618110763e-07
287,,304,,,,No,0, ,, , ,-9999.0,-9999.0,990177,Surface Parking,{B166D56F-C228-4A6D-9B4E-D62C1D875CF8},0.00462031755539,9.35757405175e-07
288,,305,,,,No,0, ,, , ,-9999.0,-9999.0,990309,Surface Parking,{B2CF62E6-5743-4417-8D50-3149CA5985F9},0.00210589057894,7.7416305004e-08
290,,306,,,,No,0, ,, , ,-9999.0,-9999.0,990178,Surface Parking,{61EBB6A1-181F-4825-B825-761DAF2E9FD2},0.00152155785322,1.28065574367e-07
293,,307,,,,No,0, ,,HALL & HALL AUTO PARKS,16th/Logan,-9999.0,-9999.0,1007393,Surface Parking,{2395ED1E-7921-44D9-8DF6-BFB92CF57C71},0.00237807460231,2.8362631338e-07
297,,308,,,,No,97,Convention,,Interpark,Welton/California,110.0,5.5,990179,Surface Parking,{1B24CCD2-0B5F-4D6F-AD82-B65EA614946F},0.00121153158714,7.72572779226e-08
300,,309,,,,No,0, ,, , ,-9999.0,-9999.0,990180,Surface Parking,{3306051F-6A5C-474D-A3C2-29DEF4F582C4},0.000659430645239,1.54228697035e-08
304,,310,,,,No,0, ,,HALL & HALL AUTO PARKS,Logan,-9999.0,-9999.0,8307,Surface Parking,{87BE21D7-140C-4FC5-86E4-B644492A156A},0.00167096126086,1.855233822e-07
308,,311,,,,No,0, ,, , ,-9999.0,-9999.0,990181,Surface Parking,{3CF5DF70-3D9E-4A67-A682-E0B6024B541E},0.00395721475708,7.25976120733e-07
311,,312,,,,No,0, ,, , ,-9999.0,-9999.0,990310,Surface Parking,{2E3C909A-2CD2-41AB-85B2-CB312E7B8867},0.00231885483093,1.91196452026e-07
313,,313,,,,No,0, ,, , ,-9999.0,-9999.0,990182,Surface Parking,{A33D7914-015A-4477-A605-182E51114AFA},0.00151576313083,1.39157560702e-07
315,,314,,,,No,0, ,, , ,-9999.0,-9999.0,990183,Surface Parking,{F203D8A9-A50F-40EA-8098-26CE47A16DC6},0.00106284122914,6.14639481024e-08
316,,315,,,,No,0, ,, , ,-9999.0,-9999.0,990184,Surface Parking,{5A9143DF-E3C7-4DB0-B752-7D70A341897A},0.00161105893259,1.16992890053e-07
320,,316,,,,No,0, ,,"REPUBLIC PARKING SYSTEM, INC",12th/Welton,-9999.0,-9999.0,1038012,Surface Parking,{6F2D7EBA-7BE5-4A96-B1AF-43E7187FBC20},0.00250208388193,2.4398672072e-07
326,,317,,,,No,136,Golden Triangle,, , ,-9999.0,-9999.0,990185,Surface Parking,{DC8EDB1D-4880-4BEC-BD4F-B2FA045D16CD},0.00178606246926,1.52574095382e-07
249,,318,,,,No,0, ,, , ,-9999.0,-9999.0,990186,Surface Parking,{08B6259F-BD0F-45FC-A4A3-0F00311ABFDC},0.00346963998116,6.67830259655e-07
198,,319,,,,No,0, ,, , ,-9999.0,-9999.0,990311,Surface Parking,{483E2D07-C1E8-4D01-94A7-645C54B02DB7},0.00621852761215,2.09856955084e-06
215,,320,,,,No,0, ,, , ,-9999.0,-9999.0,990187,Surface Parking,{35917618-F28E-47A3-ACE1-0921B27AE143},0.0103342330114,1.9471865607e-06
327,,321,,,,No,137,Golden Triangle,, , ,-9999.0,-9999.0,990188,Surface Parking,{6631A18F-582A-4F83-877F-DA498B735AA8},0.0015729160011,1.00998163503e-07
330,,322,,,,No,140,Golden Triangle,, , ,-9999.0,-9999.0,990189,Surface Parking,{A08144D2-C0E3-40D4-A8D1-A845C001DE14},0.00117701923718,7.46378157504e-08
332,,323,,,,No,0, ,, , ,-9999.0,-9999.0,990190,Surface Parking,{0845CBFB-D9FE-4C02-855C-945AB3C9B037},0.00264603188604,1.72634863059e-07
335,,324,,,,No,0, ,,"TIM SABUS AND COMPANY, INC.",Santa Fe,-9999.0,-9999.0,54487,Surface Parking,{54F8AEBC-7F38-4E6A-A71F-4980716EB846},0.00146551291137,1.28559705527e-07
336,,325,,,,No,0, ,,GUS PARKING LOT #20,Grant/Logan,-9999.0,-9999.0,8803,Surface Parking,{163806AF-B975-4494-886A-541C102E713F},0.00253479589962,3.8763187229e-07
337,,326,,,,No,0, ,, , ,-9999.0,-9999.0,990191,Surface Parking,{4F6BD9D5-A923-4CED-8C4D-F72696999A01},0.0012386858247,7.11078254392e-08
338,,327,,,,No,0, ,, , ,-9999.0,-9999.0,990312,Surface Parking,{377966BC-67F3-4D80-9373-2B2668A79189},0.00195523215939,1.36279954157e-07
339,,328,,,,No,136,Golden Triangle,, , ,-9999.0,-9999.0,990192,Surface Parking,{BD5B69A7-1F01-4E07-9F90-F0AFF958EED5},0.000722803497885,3.12053665471e-08
340,,329,,,,No,0, ,, , ,-9999.0,-9999.0,990193,Surface Parking,{D1A1765A-CA76-488A-89A6-7E59A78D1B0E},0.00085235921061,2.78543144925e-08
343,,330,,,,No,0, ,, , ,-9999.0,-9999.0,990194,Surface Parking,{CC373073-A176-44C1-BED2-5308B297E4E5},0.00330509511713,3.28139845272e-07
29,,331,,,,No,0, ,, , ,-9999.0,-9999.0,990195,Surface Parking,{5864C7D3-894B-4A17-B989-C9512AAC4816},0.00869508911428,9.47305284493e-07
31,,332,,,,No,0, ,, , ,-9999.0,-9999.0,990196,Surface Parking,{7B5C1D1F-27A3-42E7-8874-37A40C65FBAD},0.00168103300446,1.2392056671e-07
34,,333,,,,No,0, ,, , ,-9999.0,-9999.0,990197,Surface Parking,{7C5C4814-36BB-4FD2-A2E5-12A7011635CE},0.00141392269315,1.00189585258e-07
36,,334,,,,No,0, ,, , ,-9999.0,-9999.0,990313,Surface Parking,{C46F007D-21B5-41AA-A34A-90CBF4F8063F},0.00102444599329,5.32369200594e-08
39,,335,,,,No,0, ,, , ,-9999.0,-9999.0,990198,Surface Parking,{F80EA5CC-AAD4-4000-98F9-9CDED25ADC19},0.00139968826389,9.40312537516e-08
40,,336,,,,No,0, ,, , ,-9999.0,-9999.0,990199,Surface Parking,{4F2C779E-40E0-49FC-931E-AFDE13914718},0.00113461367835,7.32650556324e-08
43,,337,,,,No,0, ,, , ,-9999.0,-9999.0,990200,Surface Parking,{7C678396-91A8-416A-8C96-AA8EAD31F35E},0.00122574740433,4.19029945381e-08
46,,338,,,,No,0, ,, , ,-9999.0,-9999.0,990201,Surface Parking,{66F0760A-5303-4879-94C9-AA49E68A3539},0.00251576740889,3.58470479676e-07
47,,339,,,,No,0, ,, , ,-9999.0,-9999.0,990202,Surface Parking,{A83B1F23-760A-4308-A5C9-C87FA7305913},0.00153887360702,1.38947112915e-07
48,,340,,,,No,0, ,, , ,-9999.0,-9999.0,990203,Surface Parking,{CCC0F911-1E93-4169-BEB1-9FF72E104442},0.00177377503572,1.85896256166e-07
49,,341,,,,No,0, ,, , ,-9999.0,-9999.0,990314,Surface Parking,{EDA989A2-4AB9-4F0C-9C9C-4B8409A8AC22},0.00263058051598,2.83398664426e-07
279,,342,,,,No,0, ,, , ,-9999.0,-9999.0,990204,Surface Parking,{D48CA783-5077-41BC-8F36-757993CA1E62},0.00455246930888,1.24613240008e-06
281,,343,,,,No,0, ,, , ,-9999.0,-9999.0,990205,Surface Parking,{2051F2A3-A377-454A-BEE8-258E5EE9CFC3},0.00258048462721,3.39034859814e-07
283,,344,,,,No,98,Convention,,"REPUBLIC PARKING SYSTEM, INC", ,-9999.0,-9999.0,1038006,Surface Parking,{EE37EBFB-F019-4FD2-9F7B-8850441F8B1D},0.00184066382275,2.03977818284e-07
289,,345,,,,No,0, ,, , ,-9999.0,-9999.0,990206,Surface Parking,{A4327348-3F70-4656-A06F-0CB8CC949C22},0.00391530643748,6.80465444731e-07
302,,346,,,,No,0, ,, , ,-9999.0,-9999.0,990207,Surface Parking,{A23CB5A2-AE85-48B7-896B-9153889F838A},0.00248077714106,1.76162139373e-07
307,,347,,,,No,0, ,, , ,-9999.0,-9999.0,990215,Surface Parking,{8CCC6234-BE30-468A-90A9-EE79A057308C},0.00322878375989,5.8198618888e-07
310,,348,,,,No,0, ,, , ,-9999.0,-9999.0,990216,Surface Parking,{92FDFDE4-3446-4C88-B262-9EDD08B2419C},0.00483129430932,9.12094614679e-07
312,,349,,,,No,106,Convention,, , ,-9999.0,-9999.0,990315,Surface Parking,{05178EB3-E0DC-436D-8D25-353D67C5A827},0.00236852237804,2.46197273889e-07
319,,350,,,,No,0, ,,HALL & HALL AUTO PARKS,Logan/Colfax,-9999.0,-9999.0,8351,Surface Parking,{E04F60E3-1296-4222-9906-4C05CDB08299},0.00167309596031,1.50724136908e-07
323,,351,,,,No,0, ,, , ,-9999.0,-9999.0,990217,Surface Parking,{FE74C88F-CC8F-4FFD-88EC-11A0B9763E76},0.00141921202642,1.11365859611e-07
325,,352,,,,No,0, ,, , ,-9999.0,-9999.0,990218,Surface Parking,{3268A87A-C7E3-4CA1-B8A1-B73920946968},0.0018030468116,7.64622198779e-08
328,,353,,,,No,0, ,, , ,-9999.0,-9999.0,990219,Surface Parking,{E5252948-12C5-440B-9603-3B946163F5E8},0.00521443952943,4.51778116679e-07
331,,354,,,,No,0, ,, , ,-9999.0,-9999.0,990220,Surface Parking,{DA473BDB-BC9B-45B8-B941-C050D2CDDDBE},0.00216044269772,1.98112187454e-07
334,,355,,,,No,0, ,, , ,-9999.0,-9999.0,990221,Surface Parking,{681057BC-BA77-4899-BB80-058E4E20098E},0.00207665134713,2.42565670645e-07
344,,356,,,,No,137,Golden Triangle,, , ,-9999.0,-9999.0,990222,Surface Parking,{63750A38-4E08-48EB-AE79-E2046827EE02},0.00190903499854,6.8179981989e-08
167,,357,,,,No,0, ,, , ,-9999.0,-9999.0,990316,Surface Parking,{29B06417-0094-4FC7-88C3-CF1C063AFA36},0.00148962843501,1.31609410519e-07
178,,358,,,,No,0, ,,TIME PARK LOT #23,20th/welton,-9999.0,-9999.0,1007079,Surface Parking,{C9B34B47-853E-4926-8F69-62CC72E205E0},0.00163789186654,1.55164728418e-07
179,,359,,,,No,0, ,, , ,-9999.0,-9999.0,990223,Surface Parking,{83047881-5F08-425B-8ED6-0824C7E437A6},0.0030742211002,4.27120419664e-07
184,,360,,,,No,0, ,, , ,-9999.0,-9999.0,990224,Surface Parking,{624B1E93-E51A-405F-A5BA-F698E9148927},0.0057547473191,2.09606441124e-06
191,,361,,,,No,0, ,, , ,-9999.0,-9999.0,990225,Surface Parking,{2D4E3092-05E7-4CC7-8F39-9A39449D20CE},0.00125672909915,7.1049168823e-08
